,Round,Total mols,Valid mols without duplicate mols,Validity,Duplicate mols,Filtered mols,Filtered rate,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1
0,Retrain_0,1280,1150,0.8984375,1,404,0.351304348,0,0,0,0,0,0,0,0
1,Retrain_1,1280,1182,0.9234375,1,501,0.423857868,1,1,1,1,1,1,0,
2,Retrain_2,1280,1152,0.9,3,513,0.4453125,2,2,2,2,2,0,,
3,Retrain_3,1280,1174,0.9171875,9,573,0.488074957,3,3,3,3,0,,,
4,Retrain_4,1280,1154,0.9015625,19,593,0.513864818,4,4,4,0,,,,
5,Retrain_5,1280,1194,0.9328125,6,595,0.498324958,5,5,0,,,,,
6,Retrain_6,1280,1177,0.91953125,29,644,0.547153781,6,0,,,,,,
7,Retrain_7,1280,1178,0.9203125,21,665,0.564516129,0,,,,,,,
0,Retrain_8,1280,1168,0.9125,36,648,0.554794521,,,,,,,,
